event_1,event_2,label,dup_type,char_sim,norm_sim,jaccard,len_1,len_2,tok_1,tok_2,len_diff,tok_diff,same_action,same_domain
abm_advertisements_banner_deliver,widget_unavailability_info_widget_click,0,not_duplicate,0.1667,0.1667,0.0,33,39,4,5,6,1,0,0
card_issue_card_showcase_open,pay_ecom_order_response,0,not_duplicate,0.3077,0.3077,0.0,29,23,5,4,6,1,0,0
x5_auth_sms_send,safebox_safe_landing_click,0,not_duplicate,0.2857,0.2857,0.0,16,26,4,4,10,0,0,0
codeword_change_form_screen_view,codeword_change_form_scren_view,1,typo,0.9841,0.9841,0.6667,32,31,5,5,1,0,1,1
level_member_invite_screen_benefits_click,millionaire_millionaire_widget_click,0,not_duplicate,0.3896,0.3896,0.125,41,36,6,4,5,2,1,0
individual_debit_check_button_click,button_debit_check_individual_click,1,permutation,0.6,0.6,1.0,35,35,5,5,0,0,1,0
currency_exchange_ved_create_operation_button_click,safebox_branch_select_impression,0,not_duplicate,0.1446,0.1446,0.0,51,32,7,4,19,3,0,0
user_settings_password_close,user_password_settings_close,1,permutation,0.6786,0.6786,1.0,28,28,4,4,0,0,1,1
referral_recommendation_button_click,currency_payments_ved_other_final_action_click,0,not_duplicate,0.439,0.439,0.1,36,46,4,7,10,3,1,0
change_of_ddu_data_signing_code_view,currency_exchange_ved_exchange_rates_widget_click,0,not_duplicate,0.4,0.4,0.0,36,49,7,7,13,0,0,0
self_employed_instructions_screen_view,self_employed_screen_instructions_view,1,permutation,0.8158,0.8158,1.0,38,38,5,5,0,0,1,1
piggy_bank_in_progress_button_view,smart_camera_camera_scan,0,not_duplicate,0.1034,0.1034,0.0,34,24,6,4,10,2,0,0
ksp_early_repayment_step_two_bc_click,ksp_step_repayment_early_two_bc_click,1,permutation,0.8108,0.8108,1.0,37,37,7,7,0,0,1,1
id_passkey_form_screen_view,passport_page_finish_customer_registration_response,0,not_duplicate,0.3846,0.3846,0.0,27,51,5,6,24,1,0,0
prelogin_lpr_continue_btm_product_s_click,dpz_insurance_insurance_hint_open,0,not_duplicate,0.2432,0.2432,0.0,41,33,7,5,8,2,0,0
currency_payments_ved_comission_hint_button_click,currency_payments_ved_comission_hint_button_click,1,exact,1.0,1.0,1.0,49,49,7,7,0,0,1,1
profit_chart_text_click,profit_chart_text_click,1,exact,1.0,1.0,1.0,23,23,4,4,0,0,1,1
card_issue_card_delivery_open,profitable_dashboard_open,0,not_duplicate,0.2963,0.2963,0.1667,29,25,5,3,4,2,1,0
pfm_add_expense_click,result_screen_advice_banner_impression,0,not_duplicate,0.2034,0.2034,0.0,21,38,4,5,17,1,0,0
id_login_remind_screen_view,card_order_third_party_client_card_click,0,not_duplicate,0.3582,0.3582,0.0,27,40,5,7,13,2,0,0
accounts_remap_accounts_remap_operation_submit,accounts_remap_accounts_remap_operation_submit,1,exact,1.0,1.0,1.0,46,46,6,6,0,0,1,1
trusted_networks_delete_network_success,credit_button_click,0,not_duplicate,0.2069,0.2069,0.0,39,19,5,3,20,2,0,0
cashback_category_details_button_impression,cashback_category_info_link_impression,1,semantic,0.7901,0.7901,0.4286,43,38,5,5,5,0,1,1
keepers_banner_open_retention_bottom_sheet_click,trade_acquiring_delivery_info_support_click,0,not_duplicate,0.3516,0.3516,0.0833,48,43,7,6,5,1,1,0
currency_payments_ved_phone_number_field_click,ksp_early_repayment_step_one_click,0,not_duplicate,0.525,0.525,0.0833,46,34,7,6,12,1,1,0
level_owner_error_impression,level_owner_errror_impression,1,typo,0.9825,0.9825,0.6,28,29,4,4,1,0,1,1
switcher_accounts_click,switcher-accounts-click,1,case,0.913,1.0,0.0,23,23,3,1,0,2,0,0
global_search_search_result_action,global_search_search_result_click,1,semantic,0.8955,0.8955,0.6,34,33,5,5,1,0,0,1
search_channels_search_choice_click,search_channels_choice_search_click,1,permutation,0.8,0.8,1.0,35,35,5,5,0,0,1,1
guarantee_lpr_result_screen_success,guarantee_kpr_result_screen_success,1,typo,0.9714,0.9714,0.6667,35,35,5,5,0,0,1,1
self_employed_landing_screen_view,companies_hub_show_currency_click,0,not_duplicate,0.3939,0.3939,0.0,33,33,5,5,0,0,0,0
support_chat_failed_attachment_upload_click,x5_history_button_click,0,not_duplicate,0.3939,0.3939,0.1111,43,23,6,4,20,2,1,0
document_flow_screen_load,main_screen_product_screen_view,0,not_duplicate,0.4286,0.4286,0.1429,25,31,4,5,6,1,0,0
daily_pay_usage_interaction_take_money_button_click,ghost_banners_banners_click,0,not_duplicate,0.359,0.359,0.1,51,27,8,4,24,4,1,0
promocode_details_information_button_click,rate_settings_conf_lpr_back_click,0,not_duplicate,0.2667,0.2667,0.1,42,33,5,6,9,1,1,0
abm_acq_form_send_request_impression,support_chat_welcome_page_open,0,not_duplicate,0.1818,0.1818,0.0,36,30,6,5,6,1,0,0
side_panel_successful_deposit_closure_view,side_panel_successful_deposit_closure_open,1,synonym,0.9286,0.9286,0.7143,42,42,6,6,0,0,0,1
salary_moneybox_settings_screen_view,personal_account_mvno_catalog_service_button_click,0,not_duplicate,0.3721,0.3721,0.0,36,50,5,7,14,2,0,0
mb_connect_action_click,action_connect_mb_click,1,permutation,0.6522,0.6522,1.0,23,23,4,4,0,0,1,0
widget_dashboard_widget_click,widget_dashboard_widget_select,1,synonym,0.8475,0.8475,0.5,29,30,4,4,1,0,0,1
widget_payment_notification_widget_click,widget_payment_notification_widget_cick,1,typo,0.9873,0.9873,0.6,40,39,5,5,1,0,0,1
stories_pages_redesign_pages_long_tap,add_expense_more_confirm_expense_click,0,not_duplicate,0.24,0.24,0.0,37,38,6,6,1,0,0,0
currency_payments_ved_urgency_field_click,subscription_owner_onboarding_back,0,not_duplicate,0.2133,0.2133,0.0,41,34,6,4,7,2,0,0
result_screen_advice_banner_impression,metal_account_refill_confirmation_click,0,not_duplicate,0.1818,0.1818,0.0,38,39,5,5,1,0,0,0
pay_ecom_order_response,psy_ecom_order_response,1,typo,0.9565,0.9565,0.6,23,23,4,4,0,0,1,0
trade_acquiring_landing_get_form_click,card_reissue_redisign_reissue_click,0,not_duplicate,0.4384,0.4384,0.1111,38,35,6,5,3,1,1,0
cc2_interest_change,metal_account_refill_auto_payment_day_click,0,not_duplicate,0.2903,0.2903,0.0,19,43,3,7,24,4,0,0
profile_active_session_click,investments_withdrawal_click,0,not_duplicate,0.3929,0.3929,0.1667,28,28,4,3,0,1,1,0
apologetic_gift_details_button_banner_click,apologetic_ggift_details_button_banner_click,1,typo,0.9885,0.9885,0.7143,43,44,6,6,1,0,1,1
main_alert_consent,bil_premfo_polling_animation_click,0,not_duplicate,0.2692,0.2692,0.0,18,34,3,5,16,2,0,0
card_activation_multistep_pin_entry_screen_screen_view,card_activation_multistep_pin_entr_screen_screen_view,1,typo,0.9907,0.9907,0.75,54,53,8,8,1,0,1,1
onboarding_mmb_onboarding_scenario_reject,Onboarding-Mmb-Onboarding-Scenario-Reject,1,case,0.7805,1.0,0.0,41,41,5,1,0,4,0,0
history_action_disable_user_close,history_action_disable_user_hide,1,synonym,0.8923,0.8923,0.6667,33,32,5,5,1,0,0,1
notification_center_network_error_error,notification_center_network_error_declined,1,synonym,0.8642,0.8642,0.8,39,42,5,5,3,0,0,1
notification_center_notification_impression,deposit_losure_alert_screen_view,0,not_duplicate,0.16,0.16,0.0,43,32,4,5,11,1,0,0
address_change_map_screen_view,address_change_map_view_display,1,semantic,0.7541,0.7541,0.6667,30,31,5,5,1,0,0,1
currency_payments_ved_currency_payment_final_screen_view,currency_payments_ved_exchange_transfer_final_screen_open,1,semantic,0.708,0.708,0.5,56,57,8,8,1,0,0,1
promocodes_api_success,stories_banner_redesign_banner_impression,0,not_duplicate,0.3175,0.3175,0.0,22,41,3,5,19,2,0,0
paycontrol_deletion_delete_key_confirm,piggy_bank_bonus_screen_screen_view,0,not_duplicate,0.3288,0.3288,0.0,38,35,5,6,3,1,0,0
transactions_impression,transactions_impression,1,exact,1.0,1.0,1.0,23,23,2,2,0,0,1,1
currency_payments_ved_delete_hs_code_button_click,promocodes_list_promocodes_list_history_screen_view,0,not_duplicate,0.26,0.26,0.0,49,51,8,7,2,1,0,0
notification_center_filter_action,loan_refinancing_fee_discount_screen_view,0,not_duplicate,0.2162,0.2162,0.0,33,41,4,6,8,2,0,0
cashback_statistics_lost_profit_click,CASHBACK_STATISTICS_LOST_PROFIT_CLICK,1,case,0.1081,1.0,0.0,37,37,5,5,0,0,0,0
partners_promotions_participation_history_new_list_scroll,kpn_application_lpr_choose_organizations_kpn_lpr_open_screen,0,not_duplicate,0.4103,0.4103,0.0,57,60,7,9,3,2,0,0
games_continue_button_click,carousel_for_you_banner_view,0,not_duplicate,0.3636,0.3636,0.0,27,28,4,5,1,1,0,0
subscription_owner_button_back,subscription_owner_button_back,1,exact,1.0,1.0,1.0,30,30,4,4,0,0,1,1
x5_auth_pin_create,x5_auth_pin_create,1,exact,1.0,1.0,1.0,18,18,4,4,0,0,1,1
combo_card_money_source_change_click,carousel_for_you_sidepanel_rate,0,not_duplicate,0.2687,0.2687,0.0,36,31,6,5,5,1,0,0
investment_account_operation_history_screen_view,investment_screen_operation_history_account_view,1,permutation,0.8125,0.8125,1.0,48,48,6,6,0,0,1,1
style_selection_load_data_error,games_faq_click,0,not_duplicate,0.1304,0.1304,0.0,31,15,5,3,16,2,0,0
auth_page_passcode_send_click,deeplink_sour_e_click,0,not_duplicate,0.44,0.44,0.125,29,21,5,4,8,1,1,0
standart_combo_second_step_0_click,accepted_offers_main_screen_click,0,not_duplicate,0.3881,0.3881,0.1,34,33,6,5,1,1,1,0
branch_operations_back_button_click,branch_operations_back_buttno_click,1,typo,0.9714,0.9714,0.6667,35,35,5,5,0,0,1,1
mvno_registration_new_number_screen_view,mvnoRegistrationNewNumberScreenView,1,case,0.8,1.0,0.0,40,35,6,1,5,5,0,0
travel_auth_password_error,device_manage_list_view,0,not_duplicate,0.1633,0.1633,0.0,26,23,4,4,3,0,0,0
card_issue_card_projects_click,passport_page_button_different_type_of_code_click,0,not_duplicate,0.3544,0.3544,0.0909,30,49,5,8,19,3,1,0
universal_offer_lpr_result_screen_success,universal_lpr_offer_result_screen_success,1,permutation,0.9024,0.9024,1.0,41,41,6,6,0,0,1,1
portrait_video_screen_view,list_of_signed_documents_list_view,0,not_duplicate,0.4667,0.4667,0.125,26,34,4,6,8,2,1,0
card_unblocking_confirmation_submit,card_unblocking_confirmation_sbumit,1,typo,0.9714,0.9714,0.6,35,35,4,4,0,0,0,1
promocodes_list_promocodes_screen_view,operation_sign_block_view,0,not_duplicate,0.3175,0.3175,0.1429,38,25,5,4,13,1,1,0
osago_change_click,issued_bills_otp_result_view,0,not_duplicate,0.1739,0.1739,0.0,18,28,3,5,10,2,0,0
change_pin_pin_input_view,my_documents_webview_download_documents_banner_view,0,not_duplicate,0.2368,0.2368,0.1111,25,51,5,7,26,2,1,0
salary_moneybox_moneybox_widget_click,SALARY_MONEYBOX_MONEYBOX_WIDGET_CLICK,1,case,0.1081,1.0,0.0,37,37,5,5,0,0,0,0
subscription_owner_tariff_screen_view,investments_filter_check,0,not_duplicate,0.2951,0.2951,0.0,37,24,5,3,13,2,0,0
ruble_payment_nonresident_foreign_corrbik_field_click,ruble_payment_corrbik_foreign_nonresident_field_click,1,permutation,0.6981,0.6981,1.0,53,53,7,7,0,0,1,1
open_invest_account_operation_confirm,passport_page_button_another_contacts_click,0,not_duplicate,0.35,0.35,0.0,37,43,5,6,6,1,0,0
pay_control_add_success,benefits_benefits_widget_click,0,not_duplicate,0.1509,0.1509,0.0,23,30,4,4,7,0,0,0
passport_page_factors_availability_choose,passport_page_factors_availability_pick,1,synonym,0.9,0.9,0.6667,41,39,5,5,2,0,0,1
investment_account_top_up_account_click,investment_profile_top_up_balance_click,1,semantic,0.7179,0.7179,0.5714,39,39,6,6,0,0,1,1
passport_page_finish_customer_registration_request,PassportPageFinishCustomerRegistrationRequest,1,case,0.8211,1.0,0.0,50,45,6,1,5,5,0,0
cc2_insurance_activate,cc2_insurance_activate,1,exact,1.0,1.0,1.0,22,22,3,3,0,0,1,1
carousel_for_you_carousel_impression,paycontrol_registration_sidepanel_scroll,0,not_duplicate,0.2895,0.2895,0.0,36,40,5,4,4,1,0,0
loan_refinancing_9fl_explain_screen_view,revenue_notifications_ved_apply_document_status_filter_button_click,0,not_duplicate,0.1308,0.1308,0.0,40,67,6,9,27,3,0,0
suggestion_copy_click,guarantee_lpr_result_screen_success,0,not_duplicate,0.1429,0.1429,0.0,21,35,3,5,14,2,0,0
bil_complience_not_passed_view_screen_view,level_owner_error_click,0,not_duplicate,0.1846,0.1846,0.0,42,23,7,4,19,3,0,0
widget_dashboard_info_banner_close,widget dashboard info banner close,1,case,0.8824,1.0,0.0,34,34,5,1,0,4,0,0
ruble_payment_nonresident_other_final_action_click,ksp_early_repayment_step_two_bb_back,0,not_duplicate,0.3953,0.3953,0.0,50,36,7,7,14,0,0,0
kpn_application_lpr_continue_button_click,kpn_application_lpr_button_continue_click,1,permutation,0.8293,0.8293,1.0,41,41,6,6,0,0,1,1
dpz_insurance_landing_screen_view,dpz_insurance_landing_tab_display,1,semantic,0.697,0.697,0.4286,33,33,5,5,0,0,0,1
individual_salary_next_click,global_search_search_no_results_submit,0,not_duplicate,0.3636,0.3636,0.0,28,38,4,6,10,2,0,0
issued_bills_bill_screen_view,issued_bills_bill_screen_display,1,synonym,0.8525,0.8525,0.6667,29,32,5,5,3,0,0,1
metal_account_refill_toggle_click,metal_balance_refill_toggle_press,1,semantic,0.697,0.697,0.4286,33,33,5,5,0,0,0,1
profit_chart_text_click,suggestion_rephrase_click,0,not_duplicate,0.4167,0.4167,0.1667,23,25,4,3,2,1,1,0
id_consent_start,id_consent_error,1,semantic,0.75,0.75,0.5,16,16,3,3,0,0,0,1
profile_link_click,me_link_press,1,semantic,0.4516,0.4516,0.2,18,13,3,3,5,0,0,0
pay_routing_page_phone_enter_click,pay_routing_enter_phone_page_click,1,permutation,0.7941,0.7941,1.0,34,34,6,6,0,0,1,1
premium_service_aclub_lounges_compensation_click,cashback_categories_list_screen_view,0,not_duplicate,0.2857,0.2857,0.0,48,36,6,5,12,1,0,0
id_open_application_error,id_open_applicationn_error,1,typo,0.9804,0.9804,0.6,25,26,4,4,1,0,1,1
loan_refinancing_bki_back_button_click,loan_refinancing_bki_back_button_select,1,synonym,0.8831,0.8831,0.7143,38,39,6,6,1,0,0,1
customize_widget_dashboard_save_click,prelogin_lpr_success_s_open,0,not_duplicate,0.25,0.25,0.0,37,27,5,5,10,0,0,0
accounts_remap_close_accounts_remap_click,premium_service_only_premium_status_click,0,not_duplicate,0.4878,0.4878,0.125,41,41,6,6,0,0,1,0
corporate_new_credit_button_click,favorite_account_widget_ghost_offer_loaded_impression,0,not_duplicate,0.3023,0.3023,0.0,33,53,5,7,20,2,0,0
passport_page_factors_availability_choose,page_passport_factors_availability_choose,1,permutation,0.878,0.878,1.0,41,41,5,5,0,0,1,0
pay_control_settings_open,control_pay_settings_open,1,permutation,0.84,0.84,1.0,25,25,4,4,0,0,1,0
unify_sign_service_connection_with_bank_click,cashback_more_profit_carousel_screen_view,0,not_duplicate,0.2093,0.2093,0.0,45,41,7,6,4,1,0,0
credit_sb_abm_open_main_guarantor_card_click,retention_retention_multioffer_try,0,not_duplicate,0.3333,0.3333,0.0,44,34,8,4,10,4,0,0
prelogin_lpr_product_s_open,customer_products_service_widget_screen_view,0,not_duplicate,0.4225,0.4225,0.0,27,44,5,6,17,1,0,0
paycontrol_deletion_reconfigurate_reject,paycontroldeletionreconfiguratereject,1,case,0.961,0.961,0.0,40,37,4,1,3,3,0,0
osago_transfer_click,osago_transfer_clock,1,typo,0.95,0.95,0.5,20,20,3,3,0,0,0,1
abm_advertisements_banner_close,bil_income_and_expenses_screen_view,0,not_duplicate,0.3636,0.3636,0.0,31,35,4,6,4,2,0,0
x5_profile_settings_click,chatv3_deeplink_get,0,not_duplicate,0.2727,0.2727,0.0,25,19,4,3,6,1,0,0
id_consent_otp_form_error,id_consent_otp_form_declined,1,synonym,0.7925,0.7925,0.6667,25,28,5,5,3,0,0,1
digital_ruble_main_screen_transfer_click,deposit_closure_result_screen_click,0,not_duplicate,0.56,0.56,0.2222,40,35,6,5,5,1,1,0
onboarding_mmb_onboarding_scenario_finish,cashback_cards_list_screen_view,0,not_duplicate,0.3056,0.3056,0.0,41,31,5,5,10,0,0,0
check_in_lpr_screen_open,onboarding_mmb_onboarding_scenario_start,0,not_duplicate,0.3125,0.3125,0.0,24,40,5,5,16,0,0,0
my_categories_delete_category_button_select,support_chat_message_menu_click,0,not_duplicate,0.2973,0.2973,0.0,43,31,6,5,12,1,0,0
premium_order_card_detail_screen_view,id_phone_form_screen_view,0,not_duplicate,0.5484,0.5484,0.2222,37,25,6,5,12,1,1,0
ppf_insurance_account_selection_click,ppf_nsurance_account_selection_click,1,typo,0.9863,0.9863,0.6667,37,36,5,5,1,0,1,1
id_password_change_submit,idpasswordchangesubmit,1,case,0.9362,0.9362,0.0,25,22,4,1,3,3,0,0
orange_faq_open,ui_action_view_additional_services_submit,0,not_duplicate,0.1429,0.1429,0.0,15,41,3,6,26,3,0,0
downloading_signed_statements_screen_view,ksp_early_repayment_step_zero_ab_screen_close,0,not_duplicate,0.3721,0.3721,0.0833,41,45,5,8,4,3,0,0
personal_account_mvno_tariff_set_date_screen_view,personal_account_mvno_set_tariff_date_screen_view,1,permutation,0.9184,0.9184,1.0,49,49,8,8,0,0,1,1
abm_acq_sbp_form_type_of_activity_error,currency_exchange_ved_exchange_sign_and_send_button_click,0,not_duplicate,0.1667,0.1667,0.0,39,57,8,9,18,1,0,0
cross_product_conf_lpr_validation_error,cross_product_validation_lpr_conf_error,1,permutation,0.7692,0.7692,1.0,39,39,6,6,0,0,1,1
main_screen_error_screen_view,main_screen_error_screen_view,1,exact,1.0,1.0,1.0,29,29,5,5,0,0,1,1
issued_bills_otp_screen_view,screen_bills_otp_issued_view,1,permutation,0.7143,0.7143,1.0,28,28,5,5,0,0,1,0
currency_control_ved_loading_error_details_screen_view,currency_control_ved_loading_error_details_screen_view,1,exact,1.0,1.0,1.0,54,54,8,8,0,0,1,1
communication_center_communications_loading_impression,individual_salary_accounting_statement_start_screen_loaded_screen_view,0,not_duplicate,0.3387,0.3387,0.0,54,70,5,9,16,4,0,0
compliance_error_communal_error_click,compliance_fail_communal_problem_tap,1,semantic,0.6575,0.6575,0.2857,37,36,5,5,1,0,0,1
support_chat_message_menu_long_tap,my_documents_webview_download_documents_click,0,not_duplicate,0.2278,0.2278,0.0,34,45,6,6,11,0,0,0
list_deals_cib_error_event_error,list_deals_cib_error_event_error,1,exact,1.0,1.0,1.0,32,32,6,6,0,0,1,1
chatv3_channel_click,scheduled_statement_edition_from_cancel,0,not_duplicate,0.339,0.339,0.0,20,39,3,5,19,2,0,0
apologetic_gift_limit_details_item_click,my_products_list_filters_bottom_sheet_close,0,not_duplicate,0.3133,0.3133,0.0,40,43,6,7,3,1,0,0
profitable_dashboard_open,profitable_dashboars_open,1,typo,0.96,0.96,0.5,25,25,3,3,0,0,1,1
opening_an_escrow_account_application_error,opening_an_escrow_wallet_request_error,1,semantic,0.6914,0.6914,0.5,43,38,6,6,5,0,1,1
bonus_rate_up_bonus_detail_screen_view,bonus_ratte_up_bonus_detail_screen_view,1,typo,0.987,0.987,0.7143,38,39,7,7,1,0,1,1
polling_screen_polling_attepmed_error_finish,branch_operations_details_click,0,not_duplicate,0.16,0.16,0.0,44,31,6,4,13,2,0,0
travel_main_log_in_click,subscription_owner_tariff_click,0,not_duplicate,0.4727,0.4727,0.125,24,31,5,4,7,1,1,0
prosalary_retry_button_back_office_click,currency_exchange_ved_create_operation_screen_view,0,not_duplicate,0.3556,0.3556,0.0,40,50,6,7,10,1,0,0
global_search_search_result_submit,millionaire_landing_landing_new_click,0,not_duplicate,0.2254,0.2254,0.0,34,37,5,5,3,0,0,0
ksp_early_repayment_step_two_ab_back,ksp_early_repayment_ab_two_step_back,1,permutation,0.8056,0.8056,1.0,36,36,7,7,0,0,1,1
payments_details_sign_button_click,payments_details_sign_button_touch,1,synonym,0.8824,0.8824,0.6667,34,34,5,5,0,0,0,1
self_employed_marketplace_questionnaire_experience_screen_view,self_employed_marketplace_questionnaire_experoence_screen_view,1,typo,0.9839,0.9839,0.75,62,62,7,7,0,0,1,1
accounts_remap_accounts_remap_button_click,accounts_remap_accounts_remap_bytton_click,1,typo,0.9762,0.9762,0.6,42,42,6,6,0,0,1,1
navigation_bar_back_button_click,trade_acquiring_cabinet_trade_spot_edit,0,not_duplicate,0.2535,0.2535,0.0,32,39,5,6,7,1,0,0
bottom_sheet_action_click,prosalary_file_access_send,0,not_duplicate,0.2745,0.2745,0.0,25,26,4,4,1,0,0,0
retention_retention_repeated_offer_back,retention_retention_repeated_offer_return,1,synonym,0.875,0.875,0.6,39,41,5,5,2,0,0,1
retention_retention_repeated_offer_success,retention_offer_repeated_retention_success,1,permutation,0.6429,0.6429,1.0,42,42,5,5,0,0,1,1
personal_insurance_account_terms_click,PersonalInsuranceAccountTermsClick,1,case,0.8056,1.0,0.0,38,34,5,1,4,4,0,0
opening_an_escrow_account_sign_process_error,opening_an_escrow_profile_sign_process_failure,1,semantic,0.7556,0.7556,0.5556,44,46,7,7,2,0,0,1
bonus_rate_up_result_screen_screen_view,bonus_rate_up_response_tab_screen_view,1,semantic,0.7792,0.7792,0.625,39,38,7,7,1,0,1,1
communication_center_unmute_video_sound_click,onboarding_mmb_onboarding_tile_impression,0,not_duplicate,0.2093,0.2093,0.0,45,41,6,5,4,1,0,0
showcase_screen_view,ai_summarizer_ai_response_expand,0,not_duplicate,0.2692,0.2692,0.0,20,32,3,5,12,2,0,0
aclub_manager_personal_manager_impression,change_of_ddu_data_ddu_number_change,0,not_duplicate,0.2857,0.2857,0.0,41,36,5,7,5,2,0,0
my_products_filters_bottom_sheet_close,my_products_filters_bottom_sheet_exit,1,synonym,0.9067,0.9067,0.7143,38,37,6,6,1,0,0,1
global_search_history_click,card_reissue_redisign_reissue_confirm_click,0,not_duplicate,0.3714,0.3714,0.125,27,43,4,6,16,2,1,0
my_categories_edit_category_button_select,my_categories_edit_button_category_select,1,permutation,0.8293,0.8293,1.0,41,41,6,6,0,0,1,1
ui_action_get_tariff_submit,ui_aciton_get_tariff_submit,1,typo,0.963,0.963,0.6667,27,27,5,5,0,0,1,1
retention_retention_offer_success,retention_retention_offer_success,1,exact,1.0,1.0,1.0,33,33,4,4,0,0,1,1
rate_settings_conf_lpr_save_change_error,longread_impression,0,not_duplicate,0.1695,0.1695,0.0,40,19,7,2,21,5,0,0
personal_manager_change_manager_reason_screen_view,change_manager_personal_manager_reason_screen_view,1,permutation,0.76,0.76,1.0,50,50,7,7,0,0,1,0
travel_loyalty_empty_screen_screen_view,empty_loyalty_travel_screen_screen_view,1,permutation,0.7692,0.7692,1.0,39,39,6,6,0,0,1,0
advices_banner_close,advices_banner_dismiss,1,synonym,0.7619,0.7619,0.5,20,22,3,3,2,0,0,1
prelogin_lpr_success_open,prelogin_lpr_success_open,1,exact,1.0,1.0,1.0,25,25,4,4,0,0,1,1
